COUNTING TRUST:ctrust,COUNTING UNTRUST:cuntrust,LAST TIME : last,TRANSACTION CONTEXT:context,TRUST SCORE: score
1,4,4,300,untrustworthy
2,1,2,400,untrustworthy
4,1,1,400,trustworthy
4,1,1,400,trustworthy
2,1,2,400,untrustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
2,1,2,400,untrustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
2,1,2,400,untrustworthy
2,1,2,400,untrustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
2,1,2,400,untrustworthy
2,1,2,400,untrustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
2,1,2,400,untrustworthy
2,1,2,400,untrustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
2,1,2,400,untrustworthy
2,1,2,400,untrustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
2,1,2,400,untrustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
2,1,2,400,untrustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
2,1,2,400,untrustworthy
2,1,2,400,untrustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
2,1,2,400,untrustworthy
2,1,2,400,untrustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
2,1,2,400,untrustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
2,1,2,400,untrustworthy
2,1,2,400,untrustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
2,1,2,400,untrustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
2,1,2,400,untrustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
2,1,2,400,untrustworthy
2,1,2,400,untrustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
2,1,2,400,untrustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
2,1,2,400,untrustworthy
2,1,2,400,untrustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
2,1,2,400,untrustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
2,1,2,400,untrustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
2,1,2,400,untrustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
2,1,2,400,untrustworthy
2,1,2,400,untrustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
2,1,2,400,untrustworthy
2,1,2,400,untrustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
2,1,2,400,untrustworthy
2,1,2,400,untrustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
2,1,2,400,untrustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
2,1,2,400,untrustworthy
2,1,2,400,untrustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
2,1,2,400,untrustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
2,1,2,400,untrustworthy
2,1,2,400,untrustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
1,1,1,400,trustworthy
2,1,2,400,untrustworthy
